title,product_url,release_date,product_id,thumb_url,retail_price,average_sale_price,price_premium,price_premium_rank,number_of_sales,total_dollars,annual_high,annual_low,trade_range_low,trade_range_high,number_of_Asks,number_of_Bids,volatility,description
380 Onyx,https://stockx.com/adidas-yeezy-boost-380-onyx,Release: 11/28/2020,adidas-yeezy-boost-380-onyx,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-380-Onyx.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1605908365",230,268,0.196,85,593,159184,474,210,262,288,1040,239,0.046199,
700 V3 Safflower,https://stockx.com/adidas-yeezy-700-v3-safflower,Release: 11/14/2020,adidas-yeezy-700-v3-safflower,"https://stockx.imgix.net/adidas-Yeezy-700-V3-Safflower-1.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1605373558",200,270,0.335,38,4154,1120693,700,210,253,281,2176,488,0.052578,
350 V2 Fade,https://stockx.com/adidas-yeezy-boost-350-v2-yecher,Release: 11/11/2020,adidas-yeezy-boost-350-v2-yecher,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-350-V2-Yecher-1.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606325394",220,307,0.468,71,1908,585599,650,257,304,342,351,537,0.059767,Yeezy unlocked a new 350 V2 colorway as part of their Fall 2020 lineup with the Yeezy 350 V2 Fade The earthy brown look is primed for the autumnal season embracing the vibe of newly fallen leaves and their natural surroundingsbrbrThe Yeezy 350 V2 Fade features a marbled brown Primeknit upper with a deep blue side stripe across the quarter A tan translucent midsole around a gum Boost interior completes this standard Yeezy designbrbrThe Yeezy 350 V2 Fade released in November of 2020 and retailed for 220
380 Calcite Glow,https://stockx.com/adidas-yeezy-boost-380-calcite-glow,Release: 10/31/2020,adidas-yeezy-boost-380-calcite-glow,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Calcite-Glow.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1603825109",250,257,0.037,32,3558,914632,462,195,247,271,2364,485,0.0465, Yeezy added a new colorway to their expanding 380 line with the Yeezy 380 Calcite Glow, now available on StockX. While 380 releases following the Alien colorway are known for their brown, earth-toned look, the Calcite returned to the design’s roots with a ghostly vibe just in time for Halloween.\n<br>\n<br>\nThe Yeezy 380 Calcite Glow is reminiscent of the very first Yeezy 380 release, the Yeezy 380 Alien. Similar to the Alien, the Calcite Glow features a white and grey perforated Primeknit upper and a looped rope lacing system. The main difference between the two colorways is that the Calcite Glow primarily features white throughout, with grey detailing. Also, the Calcite comes with a translucent, glow-in-the-dark sole that is guaranteed to add some extra glow to your feet.\n<br>\n<br>\nThe Yeezy 380 Calcite Glow released in October of 2020 and retailed for $230.
350 V2 Natural,https://stockx.com/adidas-yeezy-boost-350-v2-natural,Release: 10/24/2020,adidas-yeezy-boost-350-v2-natural,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-350-V2-Natural-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606326131",220,298,0.582,65,13134,3909757,800,213,293,403,2376,844,0.158263,Yeezy added a new colorway to their most popular line with the Yeezy Boost 350 V2 Natural now available on StockXbrbrThe Yeezy Boost 350 V2 Natural is reminiscent of the 350 V2 Cream that released in 2017 Its upper is mostly white but instead of a monotone look hits of light grey on the Primeknit upper give this design an identity of its own A yellowed translucent Boost sole a seethrough side stripe and traditional rope laces add the finishing touches to this most recent addition to the 350 V2 collectionbrbrThe Yeezy Boost 350 V2 Natural released in October of 2020 and retailed for 200
QNTM Teal Blue,https://stockx.com/adidas-yzy-qntm-ophani,Release: 10/10/2020,adidas-yzy-qntm-ophani,"https://stockx.imgix.net/adidas-YZY-QNTM-Ophani-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603754592",250,225,-0.4,13,1146,257864,399,99,122,178,872,168,0.189357,Yeezy added a new colorway to their QNTM line with the Yeezy QNTM Teal Blue now on StockX The QNTM is the first of its kind to stray away from primarily grey uppers by adding hits of teal to provide the  aquatic vibes brbrThe Yeezy QNTM Teal Blue features a marbled olive Primeknit upper with teal blue and dark grey accents woven in Unlike the performance model this lifestyle design does not feature additional TPU caging on the upper for a more relaxed fit A black reflective heel dark grey toe guard and translucent white sole midsole complete the designbrbrThe Yeezy QNTM Teal Blue released in October of 2020 and retailed for 250
350 V2 Carbon,https://stockx.com/adidas-yeezy-boost-350-v2-asriel,Release: 10/02/2020,adidas-yeezy-boost-350-v2-asriel,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-350-V2-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606320652",220,282,0.2,19,27214,7674036,451,151,253,275,4274,810,0.043109,Kanye West and adidas keep the ball rolling with the Yeezy 350 V2 Carbon This release marks the 12th colorway of the favorite 350 V2 model in 2020 and this colorways darkhued upper makes it the perfect piece of footwear for fallbrbrThe Yeezy 350 V2 Carbon holds all of the familiar elements that make the silhouette so popular breathable Primeknit solid black mesh with its signature side stripe ribbed patterned offwhite midsole and classic BOOST cushioning make the 350 V2 Carbon easy to love and easy to wearbrbrThe Yeezy 350 V2 Carbon released in October of 2020
380 Pepper,https://stockx.com/adidas-yeezy-boost-380-pepper,Release: 09/19/2020,adidas-yeezy-boost-380-pepper,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Pepper-1.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",230,205,-0.204,13,4702,966155,410,150,176,190,1263,289,0.037793,Yeezy expanded their 380 line with the Yeezy Boost 380 Pepper now available on StockX The colorway is reminiscent of the Yeezy 380 Mist only this time it trades darker hues for a light earthtoned lookbrbrThe Yeezy 380 Pepper features a light grey and blue Primeknit upper with a light brown side spot As usual a dark translucent BOOST sole provides the ultimate cushioning experience that keeps Yeezy fans coming back for morebrbrThe Yeezy Boost 380 Pepper released in September of 2020 and retailed for 230
700 V3 Arzareth,https://stockx.com/adidas-yeezy-700-v3-arzareth,Release: 08/29/2020,adidas-yeezy-700-v3-arzareth,"https://stockx.imgix.net/images/adidas-Yeezy-700-V3-Arzareth-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606323306",200,381,0.915,65,13470,5136849,1200,287,368,398,1494,384,0.038201,Please Note Extra laces required The Yeezy 700 V3 Arzareth welcomed a new wave of color for the evergrowing Yeezy line Previous releases of the 700 V3 have stayed in neutral territory making the Arzareth a stand out with its striking colorwaybrbrThe Yeezy 700 V3 Arzareth features a blue and grey Primeknit upper that is complemented by a  traditional translucent glowinthedark cage overlay From there an EVA foam midsole grey toe cap and black lining complete the designbrbrThe Yeezy 700 V3 Arzareth released in August of 2020 and retailed for 200
350 V2 Israfil,https://stockx.com/adidas-yeezy-boost-350-v2-israfil,Release: 08/22/2020,adidas-yeezy-boost-350-v2-israfil,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Israfil-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,279,0.382,68,19724,5506971,1000,180,286,322,3278,376,0.060706,bPlease note Extra laces requiredb Yeezy added to their already extensive catalog with the Yeezy Boost 350 V2 Israfil now available on StockX brbrThe Yeezy 350 v2 Israfil features the same elements that fans of the sneaker love The upper features multicolored threads that add a variety of looks to the wearers feet from different angles From there the upper is matched with a translucent midsole that showcases the sneakers BOOST cushioned techbrbrThe Yeezy 350 v2 Israfil released in August for 220
380 Blue Oat,https://stockx.com/adidas-yeezy-boost-380-blue-oat,Release: 07/25/2020,adidas-yeezy-boost-380-blue-oat,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Blue-Oat.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",230,252,-0.113,91,2717,685614,516,114,185,223,656,164,0.093763,Yeezy added a new colorway to their Boost 380 product line with the adidas Yeezy Boost 380 Bloarf now available on StockX This model was originally known to be the Yeezy Boost 350 V3 but upon release it was given its own silhouette namebrbrThis 380 Bloarf features a Bloarf Primeknit pattern on its upper with a fitted ankle collar An upgraded translucent Boost midsole and engineered gum outsole grip completes the design These sneakers released in Spring of 2020 and retailed for 230
350 V2 Zyon,https://stockx.com/adidas-yeezy-boost-350-v2-zyon,Release: 07/18/2020,adidas-yeezy-boost-350-v2-zyon,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-350-V2-Zyon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606325931",220,295,0.177,36,32009,9442873,800,216,241,277,3697,437,0.071053,Yeezy adds another colorway of its most wellknown design with the adidas Yeezy 350 Zyon now available on StockX This 350 V2 dons a similar pattern as the Static colorway only this time ditching a white side stripe and grey accents for a darker brown stripe and mocha huesbrbrThis Yeezy 350 V2 is composed of a Zyon Primeknit upper with a dark tonal side stripe A translucent Boost cushioned sole and cream interior completes the design These sneakers released in March of 2020 and retailed for 220
700 MNVN Bone,https://stockx.com/adidas-yeezy-boost-700-mnvn-bone,Release: 07/11/2020,adidas-yeezy-boost-700-mnvn-bone,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-700-MNVN-Bone-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606324203",220,389,0.686,83,2394,931696,1000,280,329,413,163,155,0.112703,Yeezy added a new colorway to their 700 MNVN series with the adidas Yeezy Boost 700 MNVN Bone now available on StockX Although the silhouette dons a familiar Boost 700 sole this shoe differs by displaying 700 branding on the upper using compact materials This Yeezy Boost 700 MNVN is comprised of a Bone nylon upper paired with reflective detailing A solid black sole with Boost cushioning completes the design These sneakers released in April of 2020 and retailed for 220
QNTM Barium,https://stockx.com/adidas-yzy-qntm-barium,Release: 06/25/2020,adidas-yzy-qntm-barium,"https://stockx.imgix.net/images/adidas-YZY-QNTM-Barium-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606496170",250,310,-0.16,57,5759,1784682,775,0,174,246,1039,223,0.173575,Yeezy added a new colorway to their growing QNTM line with the adidas Yeezy QNTM Barium now available on StockX The QNTM Barium is composed of a dark grey Primeknit upper with suede overlays and reflective detailing A translucent sole extended ankle collar and reinforced heel cap complete the design These YZY QNTMs released in June of 2020 and retailed for 250 USD
350 V2 Sulfur,https://stockx.com/adidas-yeezy-boost-350-v2-sulfur,Release: 05/09/2020,adidas-yeezy-boost-350-v2-sulfur,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-350-V2-Sulfur.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606318341",220,298,0.241,82,5088,1517167,553,190,225,321,381,174,0.174977,Yeezy adds another colorway of its most popular design with the adidas Yeezy 350 V2 Sulfur now available on StockX This 350 V2 stays true to Yeezys signature palette sporting light earth tones that provide a natural feeling brbrThis Yeezy 350 V2 is composed of a Sulfur Primeknit upper with a tonal mesh side stripe A Sulfur Boost cushioned midsole sole and light brown outsole completes the design These sneakers released in May of 2020 and retailed for 220 USD
700 MNVN Phosphor,https://stockx.com/adidas-yeezy-boost-700-mnvn-phosphor,Release: 04/24/2020,adidas-yeezy-boost-700-mnvn-phosphor,"https://stockx.imgix.net/adidas-Yeezy-Boost-700-MNVN-Phosphor.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,345,0.5,32,3148,1086248,792,240,310,350,246,104,0.059521,
350 V2 Linen,https://stockx.com/adidas-yeezy-boost-350-v2-linen,Release: 04/18/2020,adidas-yeezy-boost-350-v2-linen,"https://stockx.imgix.net/images/adidas-Yeezy-Boost-350-V2-Linen-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1606325905",220,315,0.441,99,14534,4576640,650,240,273,361,607,235,0.139116,Yeezy adds another colorway of its most popular design with the adidas Yeezy 350 V2 Linen now available on StockX This 350 V2 stays true to Yeezys signature palette sporting earth tones that provide a natural feelingbrbrThis Yeezy 350 V2 is composed of a Linen Primeknit upper with a tonal side stripe A Linen Boost cushioned midsole sole and gum outsole completes the design These sneakers released in Spring of 2020 and retailed for 220
