title,product_url,release_date,product_id,thumb_url,retail_price,average_sale_price,price_premium,price_premium_rank,number_of_sales,total_dollars,annual_high,annual_low,trade_range_low,trade_range_high,number_of_Asks,number_of_Bids,volatility,description
350 V2 Natural,https://stockx.com/adidas-yeezy-boost-350-v2-natural,Release: 10/24/2020,adidas-yeezy-boost-350-v2-natural,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Natural-1.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,297,0.25,47,9853,2930274,800,225,230,320,3162,1125,0.162282,Yeezy added a new colorway to their most popular line with the Yeezy Boost 350 V2 Natural now available on StockXbrbrThe Yeezy Boost 350 V2 Natural is reminiscent of the 350 V2 Cream that released in 2017 Its upper is mostly white but instead of a monotone look hits of light grey on the Primeknit upper give this design an identity of its own A yellowed translucent Boost sole a seethrough side stripe and traditional rope laces add the finishing touches to this most recent addition to the 350 V2 collectionbrbrThe Yeezy Boost 350 V2 Natural released in October of 2020 and retailed for 200
QNTM Teal Blue,https://stockx.com/adidas-yzy-qntm-ophani,Release: 10/10/2020,adidas-yzy-qntm-ophani,"https://stockx.imgix.net/adidas-YZY-QNTM-Ophani-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603754592",250,236,-0.24,15,896,211095,399,135,163,217,1298,169,0.144206,Yeezy added a new colorway to their QNTM line with the Yeezy QNTM Teal Blue now on StockX The QNTM is the first of its kind to stray away from primarily grey uppers by adding hits of teal to provide the  aquatic vibes brbrThe Yeezy QNTM Teal Blue features a marbled olive Primeknit upper with teal blue and dark grey accents woven in Unlike the performance model this lifestyle design does not feature additional TPU caging on the upper for a more relaxed fit A black reflective heel dark grey toe guard and translucent white sole midsole complete the designbrbrThe Yeezy QNTM Teal Blue released in October of 2020 and retailed for 250
350 V2 Carbon,https://stockx.com/adidas-yeezy-boost-350-v2-asriel,Release: 10/02/2020,adidas-yeezy-boost-350-v2-asriel,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,284,0.345,93,22823,6477595,451,151,279,313,5649,918,0.056242,Kanye West and adidas keep the ball rolling with the Yeezy 350 V2 Carbon This release marks the 12th colorway of the favorite 350 V2 model in 2020 and this colorways darkhued upper makes it the perfect piece of footwear for fallbrbrThe Yeezy 350 V2 Carbon holds all of the familiar elements that make the silhouette so popular breathable Primeknit solid black mesh with its signature side stripe ribbed patterned offwhite midsole and classic BOOST cushioning make the 350 V2 Carbon easy to love and easy to wearbrbrThe Yeezy 350 V2 Carbon released in October of 2020
380 Pepper,https://stockx.com/adidas-yeezy-boost-380-pepper,Release: 09/19/2020,adidas-yeezy-boost-380-pepper,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Pepper-1.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",230,211,-0.222,11,3635,766831,410,150,165,193,1654,253,0.078478,Yeezy expanded their 380 line with the Yeezy Boost 380 Pepper now available on StockX The colorway is reminiscent of the Yeezy 380 Mist only this time it trades darker hues for a light earthtoned lookbrbrThe Yeezy 380 Pepper features a light grey and blue Primeknit upper with a light brown side spot As usual a dark translucent BOOST sole provides the ultimate cushioning experience that keeps Yeezy fans coming back for morebrbrThe Yeezy Boost 380 Pepper released in September of 2020 and retailed for 230
700 V3 Arzareth,https://stockx.com/adidas-yeezy-700-v3-arzareth,Release: 08/29/2020,adidas-yeezy-700-v3-arzareth,"https://stockx.imgix.net/adidas-Yeezy-700-V3-Arzareth-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",200,382,0.82,33,12468,4768732,1200,287,341,387,1537,368,0.061928,Please Note Extra laces required The Yeezy 700 V3 Arzareth welcomed a new wave of color for the evergrowing Yeezy line Previous releases of the 700 V3 have stayed in neutral territory making the Arzareth a stand out with its striking colorwaybrbrThe Yeezy 700 V3 Arzareth features a blue and grey Primeknit upper that is complemented by a  traditional translucent glowinthedark cage overlay From there an EVA foam midsole grey toe cap and black lining complete the designbrbrThe Yeezy 700 V3 Arzareth released in August of 2020 and retailed for 200
350 V2 Israfil,https://stockx.com/adidas-yeezy-boost-350-v2-israfil,Release: 08/22/2020,adidas-yeezy-boost-350-v2-israfil,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Israfil-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,280,0.323,61,17349,4861173,1000,180,265,317,3692,376,0.088584,bPlease note Extra laces requiredb Yeezy added to their already extensive catalog with the Yeezy Boost 350 V2 Israfil now available on StockX brbrThe Yeezy 350 v2 Israfil features the same elements that fans of the sneaker love The upper features multicolored threads that add a variety of looks to the wearers feet from different angles From there the upper is matched with a translucent midsole that showcases the sneakers BOOST cushioned techbrbrThe Yeezy 350 v2 Israfil released in August for 220
380 Blue Oat,https://stockx.com/adidas-yeezy-boost-380-blue-oat,Release: 07/25/2020,adidas-yeezy-boost-380-blue-oat,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Blue-Oat.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",230,255,-0.026,79,2523,642859,516,114,192,256,728,136,0.14452,Yeezy added a new colorway to their Boost 380 product line with the adidas Yeezy Boost 380 Bloarf now available on StockX This model was originally known to be the Yeezy Boost 350 V3 but upon release it was given its own silhouette namebrbrThis 380 Bloarf features a Bloarf Primeknit pattern on its upper with a fitted ankle collar An upgraded translucent Boost midsole and engineered gum outsole grip completes the design These sneakers released in Spring of 2020 and retailed for 230
350 V2 Zyon,https://stockx.com/adidas-yeezy-boost-350-v2-zyon,Release: 07/18/2020,adidas-yeezy-boost-350-v2-zyon,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Zyon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,298,0.114,32,29445,8766994,800,216,227,263,4251,437,0.073424,Yeezy adds another colorway of its most wellknown design with the adidas Yeezy 350 Zyon now available on StockX This 350 V2 dons a similar pattern as the Static colorway only this time ditching a white side stripe and grey accents for a darker brown stripe and mocha huesbrbrThis Yeezy 350 V2 is composed of a Zyon Primeknit upper with a dark tonal side stripe A translucent Boost cushioned sole and cream interior completes the design These sneakers released in March of 2020 and retailed for 220
700 MNVN Bone,https://stockx.com/adidas-yeezy-boost-700-mnvn-bone,Release: 07/11/2020,adidas-yeezy-boost-700-mnvn-bone,"https://stockx.imgix.net/adidas-Yeezy-Boost-700-MNVN-Bone-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",220,389,0.927,30,2322,903493,1000,280,386,462,201,136,0.090413,Yeezy added a new colorway to their 700 MNVN series with the adidas Yeezy Boost 700 MNVN Bone now available on StockX Although the silhouette dons a familiar Boost 700 sole this shoe differs by displaying 700 branding on the upper using compact materials This Yeezy Boost 700 MNVN is comprised of a Bone nylon upper paired with reflective detailing A solid black sole with Boost cushioning completes the design These sneakers released in April of 2020 and retailed for 220
QNTM Barium,https://stockx.com/adidas-yzy-qntm-barium,Release: 06/25/2020,adidas-yzy-qntm-barium,"https://stockx.imgix.net/adidas-YZY-QNTM-Barium-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1603481985",250,315,0,86,5473,1725608,775,85,228,272,1377,181,0.089181,Yeezy added a new colorway to their growing QNTM line with the adidas Yeezy QNTM Barium now available on StockX The QNTM Barium is composed of a dark grey Primeknit upper with suede overlays and reflective detailing A translucent sole extended ankle collar and reinforced heel cap complete the design These YZY QNTMs released in June of 2020 and retailed for 250 USD
