title,productUrl,release_date,product_id,thumb_url,retail_price,lowest_ask,highest_bid,annual_low,annual_high,number_of_asks,numberOf_bids,sales_last_72Hours,price_premium,volatility,description
adidas Yeezy QNTM Teal Blue,https://stockx.com/adidas-yzy-qntm-ophani,Release: 10/10/2020,adidas-yzy-qntm-ophani,"https://stockx.imgix.net/adidas-YZY-QNTM-Ophani.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1601656810",250,260,290,200,399,154,784,168,0.136,0.065386,"Yeezy added a new colorway to their QNTM line with the Yeezy QNTM Teal Blue, now on StockX. The QNTM is the first of its kind to stray away from primarily grey uppers by adding hits of teal to provide the  aquatic vibes. The Yeezy QNTM Teal Blue features a marbled olive Primeknit upper with teal blue and dark grey accents woven in. Unlike the performance model, this lifestyle design does not feature additional TPU caging on the upper for a more relaxed fit. A black reflective heel, dark grey toe guard, and translucent white sole midsole complete the design.The Yeezy QNTM Teal Blue released in October of 2020 and retailed for $250."
adidas Yeezy Boost 350 V2 Carbon Reflective,https://stockx.com/adidas-yeezy-boost-350-v2-asriel-reflective,Release: 10/03/2020,adidas-yeezy-boost-350-v2-asriel-reflective,"https://stockx-assets.imgix.net/media/New-Product-Placeholder-Default.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=false",250,320,390,0,0,0,1,67,0,0,"Yeezy brought a two-tone flare to its most popular design with the adidas Yeezy 350 V2 Asriel Reflective now available on StockX. This 350 V2 stays true to Yeezy\'s signature palette, sporting neutral tones that provide a natural feeling. The Yeezy 350 V2 Asriel Reflective is composed of a reflective black and grey Primeknit upper with a solid black mesh side stripe. An aged-looking white translucent Boost sole completes the design. These sneakers released in September of 2020 and retailed for $220 USD."
adidas Yeezy Boost 350 V2 Carbon,https://stockx.com/adidas-yeezy-boost-350-v2-asriel,Release: 10/02/2020,adidas-yeezy-boost-350-v2-asriel,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1602176137",220,265,290,246,451,2359,6754,1479,0.202,0.033298,"Kanye West and adidas keep the ball rolling with the Yeezy 350 V2 Carbon. This release marks the 12th colorway of the favorite 350 V2 model in 2020 and this colorway\'s dark-hued upper makes it the perfect piece of footwear for fall.The Yeezy 350 V2 Carbon holds all of the familiar elements that make the silhouette so popular; breathable Primeknit solid black mesh with its signature side stripe, ribbed patterned off-white midsole, and classic BOOST cushioning make the 350 V2 Carbon easy to love and easy to wear.The Yeezy 350 V2 Carbon released in October of 2020."
adidas Yeezy Boost 380 Pepper,https://stockx.com/adidas-yeezy-boost-380-pepper,Release: 09/19/2020,adidas-yeezy-boost-380-pepper,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Pepper-1.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1599234078",230,190,220,150,410,253,2356,269,-0.087,0.048881,"Yeezy expanded their 380 line with the Yeezy Boost 380 Pepper, now available on StockX. The colorway is reminiscent of the Yeezy 380 Mist, only this time it trades darker hues for a light earth-toned look.The Yeezy 380 Pepper features a light grey and blue Primeknit upper with a light brown side spot. As usual, a dark translucent BOOST sole provides the ultimate cushioning experience that keeps Yeezy fans coming back for more.The Yeezy Boost 380 Pepper released in September of 2020 and retailed for $230."
adidas Yeezy Boost 380 Pepper Reflective,https://stockx.com/adidas-yeezy-boost-380-pepper-reflective,Release: 09/11/2020,adidas-yeezy-boost-380-pepper-reflective,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Pepper-Reflective.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1599674419",250,269,277,225,443,15,497,145,0.308,0.072818, ""
adidas Yeezy 700 V3 Arzareth,https://stockx.com/adidas-yeezy-700-v3-arzareth,Release: 08/29/2020,adidas-yeezy-700-v3-arzareth,"https://stockx.imgix.net/adidas-Yeezy-700-V3-Arzareth-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1599674275",200,365,440,287,1200,194,1632,762,1.144,0.061653,"Please Note: Extra laces required. The Yeezy 700 V3 Arzareth welcomed a new wave of color for the ever-growing Yeezy line. Previous releases of the 700 V3 have stayed in neutral territory, making the Arzareth a stand out with its striking colorway.The Yeezy 700 V3 Arzareth features a blue and grey Primeknit upper that is complemented by a  traditional translucent glow-in-the-dark cage overlay. From there, an EVA foam midsole, grey toe cap, and black lining complete the design.The Yeezy 700 V3 Arzareth released in August of 2020 and retailed for $200."
adidas Yeezy Boost 350 V2 Israfil,https://stockx.com/adidas-yeezy-boost-350-v2-israfil,Release: 08/22/2020,adidas-yeezy-boost-350-v2-israfil,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Israfil-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1599067998",220,258,301,180,1000,357,4462,596,0.264,0.064589,"Please note: Extra laces required Yeezy added to their already extensive catalog with the Yeezy Boost 350 V2 Israfil, now available on StockX. The Yeezy 350 v2 Israfil features the same elements that fans of the sneaker love. The upper features multi-colored threads that add a variety of looks to the wearer\'s feet from different angles. From there, the upper is matched with a translucent midsole that showcases the sneaker\'s BOOST cushioned tech.The Yeezy 350 v2 Israfil released in August for $220."
adidas Yeezy Boost 380 Blue Oat,https://stockx.com/adidas-yeezy-boost-380-blue-oat,Release: 07/25/2020,adidas-yeezy-boost-380-blue-oat,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Blue-Oat.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1595264320",230,209,250,114,516,31,802,140,-0.074,0.156418,"Yeezy added a new colorway to their Boost 380 product line with the adidas Yeezy Boost 380 Bloarf, now available on StockX. This model was originally known to be the Yeezy Boost 350 V3, but upon release it was given its own silhouette name.This 380 Bloarf features a Bloarf Primeknit pattern on its upper with a fitted ankle collar. An upgraded translucent Boost midsole and engineered gum outsole grip completes the design. These sneakers released in Spring of 2020 and retailed for $230."
adidas Yeezy Boost 380 Blue Oat Reflective,https://stockx.com/adidas-yeezy-boost-380-blue-oat-reflective,Release: 07/24/2020,adidas-yeezy-boost-380-blue-oat-reflective,"https://stockx.imgix.net/adidas-Yeezy-Boost-380-Blue-Oat-Reflective-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1598649249",250,250,325,173,511,5,183,90,0.08,0.204689, ""
adidas Yeezy Boost 350 V2 Zyon,https://stockx.com/adidas-yeezy-boost-350-v2-zyon,Release: 07/18/2020,adidas-yeezy-boost-350-v2-zyon,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Zyon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1596134320",220,254,306,216,800,381,4451,581,0.432,0.051036,"Yeezy adds another colorway of its most well-known design with the adidas Yeezy 350 Zyon, now available on StockX. This 350 V2 dons a similar pattern as the Static colorway, only this time ditching a white side stripe and grey accents for a darker brown stripe and mocha hues.This Yeezy 350 V2 is composed of a Zyon Primeknit upper with a dark tonal side stripe. A translucent Boost cushioned sole and cream interior completes the design. These sneakers released in March of 2020 and retailed for $220."
